date,percentage_4p_plus,max(trip),min(trip)
2003-01-01,0,0,0
2008-12-31,0,0,0
2009-01-01,10.5,61.42,9.30
2019-12-18,50,6.30,6.30
2019-12-31,10.9,27.30,9.30
2020-01-01,9.7,350.42,-79.80
2020-01-02,8.6,352.30,-61.42
2020-01-03,8.3,348.30,-61.42
2020-01-04,9,577.80,-55.30
2020-01-05,8.4,264.36,-65.30
2020-01-06,7.1,185.90,-168.30
2020-01-07,7,242.80,-57.30
2020-01-08,7,253.67,-61.42
2020-01-09,6.9,404.30,-12.30
2020-01-10,7.3,284.76,-75.30
2020-01-11,8.1,424.29,-77.80
2020-01-12,7.8,658.35,-55.30
2020-01-13,6.8,312.46,-57.80
2020-01-14,7,412.09,-120.80
2020-01-15,6.9,179.16,-150.80
2020-01-16,7,156.04,-61.42
2020-01-17,7.2,351.29,-170.30
2020-01-18,8.6,384.66,-130.80
2020-01-19,8.4,222.36,-61.42
2020-01-20,7.5,270.96,-58.92
2020-01-21,7.1,730.30,-730.30
2020-01-22,6.9,264.20,-59.80
2020-01-23,7.2,290.05,-61.42
2020-01-24,7.3,367.30,-61.42
2020-01-25,8.4,153.80,-55.30
2020-01-26,8,217.86,-55.30
2020-01-27,7,238.55,-65.92
2020-01-28,7,294.80,-28.80
2020-01-29,7,227.66,-61.42
2020-01-30,7,411.82,-110.80
2020-01-31,7.1,208.30,-61.42
2020-02-01,4.2,11.30,11.30
2020-02-02,0,0,0
2020-02-12,0,0,0
2020-02-23,0,0,0
2020-03-04,0,0,0
2020-03-16,0,0,0
2020-03-25,0,0,0
2020-03-26,100,21.80,21.80
2020-04-16,0,0,0
2020-05-07,0,0,0
2020-05-28,0,0,0
2020-06-19,0,0,0
2020-07-10,0,0,0
2020-07-31,0,0,0
2021-01-02,0,0,0
